frame,global_id,label,x1,y1,x2,y2,cx,cy,Xc,Yc,Zc,Xw,Yw,Zw
0,0,paper sign in hand,1176,371,1226,563,1201.00,467.00,0.4360560722200744,0.21145833333333336,0.7587548420118218,0.43605607748031616,0.7628301382064819,0.296249121427536
1,0,paper sign in hand,1176,372,1226,562,1201.00,467.00,0.4406461361381805,0.2126315789473684,0.7667417350856304,0.438351109623909,0.7665818631649017,0.2992265224456787
2,0,paper sign in hand,1176,372,1226,562,1201.00,467.00,0.4406461361381805,0.2126315789473684,0.7667417350856304,0.44064611196517944,0.7703336477279663,0.2992265224456787
3,0,paper sign in hand,1176,372,1226,564,1201.00,467.50,0.4360560722200744,0.21249999999999997,0.7587548420118218,0.43620675802230835,0.7632588148117065,0.29534703493118286
4,0,paper sign in hand,1176,372,1226,564,1201.00,468.00,0.4360560722200744,0.21249999999999997,0.7587548420118218,0.43615466356277466,0.7632921934127808,0.29534703493118286
5,0,paper sign in hand,1176,372,1226,564,1201.00,468.00,0.4360560722200744,0.21249999999999997,0.7587548420118218,0.43610823154449463,0.7633633017539978,0.29534703493118286
6,0,paper sign in hand,1176,372,1226,563,1201.00,467.50,0.4383390883049963,0.21256544502617802,0.7627273804516742,0.4363178014755249,0.7660315632820129,0.2972766160964966
7,0,paper sign in hand,1176,372,1226,563,1201.00,467.50,0.4383390883049963,0.21256544502617802,0.7627273804516742,0.43698087334632874,0.7664886116981506,0.2972766160964966
8,0,paper sign in hand,1176,372,1226,564,1201.00,468.00,0.4360560722200744,0.21249999999999997,0.7587548420118218,0.43664371967315674,0.7633470892906189,0.29534703493118286
9,0,paper sign in hand,1176,372,1226,563,1201.00,467.50,0.4383390883049963,0.21256544502617802,0.7627273804516742,0.4371723532676697,0.7667900919914246,0.2972766160964966
10,0,paper sign in hand,1176,372,1226,564,1201.00,468.00,0.4360560722200744,0.21249999999999997,0.7587548420118218,0.43674010038375854,0.7633383274078369,0.29534703493118286
11,0,paper sign in hand,1176,372,1226,563,1201.00,467.50,0.4383390883049963,0.21256544502617802,0.7627273804516742,0.43676748871803284,0.7663595676422119,0.2972766160964966
12,0,paper sign in hand,1176,372,1226,564,1201.00,468.00,0.4360560722200744,0.21249999999999997,0.7587548420118218,0.43722018599510193,0.7639555931091309,0.29534703493118286
13,0,paper sign in hand,1176,372,1226,563,1201.00,467.50,0.4383390883049963,0.21256544502617802,0.7627273804516742,0.43729546666145325,0.7666258811950684,0.2972766160964966
